# index x y z
0 0.887622 1.23576 1.30799
1 0.894485 1.23915 1.31858
2 0.900767 1.2426 1.32266
3 0.928872 1.45875 2.03066
4 0.927487 1.45381 2.02859
5 0.922405 1.44818 2.0273
6 0.927962 1.45087 2.0306
7 0.922877 1.44525 2.02931
8 0.918728 1.44063 2.03004
9 0.923811 1.44281 2.03233
10 0.917353 1.43572 2.02797
11 0.922894 1.43838 2.03128
12 0.912754 1.43063 2.02768
13 0.916439 1.43131 2.02692
14 0.922901 1.43494 2.03226
15 0.913679 1.42818 2.03071
16 0.917367 1.42886 2.02995
17 0.921985 1.43051 2.03122
18 0.92615 1.43168 2.03146
19 0.908629 1.42261 2.02939
20 0.912767 1.42377 2.02966
21 0.916914 1.42493 2.02992
22 0.921068 1.42609 2.03017
23 0.925694 1.42774 2.03142
24 0.904048 1.41754 2.02909
25 0.908177 1.4187 2.02936
26 0.912773 1.42034 2.03065
27 0.91692 1.42149 2.03091
28 0.92246 1.4241 2.03421
29 0.905419 1.41556 2.03315
30 0.909096 1.41623 2.0324
31 0.914153 1.41835 2.0347
32 0.917846 1.41901 2.03393
33 0.900842 1.4105 2.03284
34 0.905877 1.41261 2.03516
35 0.908643 1.41231 2.03237
36 0.914616 1.41538 2.03671
37 0.91877 1.41652 2.03696
38 0.90039 1.40659 2.03281
39 0.905424 1.40869 2.03513
40 0.910473 1.41079 2.03744
41 0.914619 1.41193 2.0377
42 0.894918 1.40059 2.03044
43 0.899938 1.40268 2.03278
44 0.904516 1.4043 2.03408
45 0.909106 1.40591 2.03537
46 0.913707 1.40751 2.03665
47 0.893112 1.39527 2.02733
48 0.899486 1.39877 2.03275
49 0.904518 1.40085 2.03507
50 0.909108 1.40246 2.03636
51 0.91371 1.40406 2.03764
52 0.889914 1.39167 2.03008
53 0.89492 1.39374 2.03243
54 0.899941 1.39581 2.03477
55 0.90452 1.39741 2.03606
56 0.908655 1.39853 2.03633
57 0.914169 1.40107 2.03965
58 0.890365 1.38872 2.03211
59 0.895824 1.39125 2.03548
60 0.9013 1.39378 2.03883
61 0.904975 1.39443 2.03808
62 0.909112 1.39554 2.03834
63 0.9128 1.39619 2.03757
64 0.885818 1.38371 2.03177
65 0.891264 1.38623 2.03516
66 0.89808 1.39016 2.0416
67 0.901299 1.39033 2.03983
68 0.90543 1.39144 2.04009
69 0.908658 1.39161 2.03831
70 0.912345 1.39225 2.03754
71 0.880835 1.37824 2.0304
72 0.887162 1.38169 2.03586
73 0.892162 1.38373 2.03821
74 0.896724 1.38531 2.03952
75 0.901751 1.38734 2.04184
76 0.905883 1.38845 2.04211
77 0.910024 1.38955 2.04236
78 0.880833 1.37483 2.0314
79 0.887607 1.37872 2.03788
80 0.89171 1.37982 2.03818
81 0.897624 1.38278 2.04257
82 0.903106 1.38528 2.04591
83 0.906336 1.38545 2.04412
84 0.909569 1.38561 2.04233
85 0.877642 1.37124 2.03414
86 0.881723 1.37233 2.03446
87 0.887156 1.37482 2.03785
88 0.893504 1.37823 2.04328
89 0.897621 1.37933 2.04356
90 0.901747 1.38042 2.04383
91 0.878082 1.36827 2.03618
92 0.882166 1.36936 2.03649
93 0.888048 1.3723 2.04091
94 0.8935 1.37478 2.04428
95 0.898068 1.37632 2.04558
96 0.902196 1.37741 2.04585
97 0.873559 1.3633 2.03582
98 0.878077 1.36484 2.03718
99 0.882607 1.36639 2.03852
100 0.888938 1.36977 2.04396
101 0.892598 1.37039 2.04322
102 0.897164 1.37194 2.04452
103 0.901741 1.37348 2.04582
104 0.872224 1.3585 2.03373
105 0.877628 1.36095 2.03715
106 0.881265 1.36157 2.03643
107 0.887591 1.36494 2.04187
108 0.891248 1.36556 2.04113
109 0.89671 1.36801 2.04449
110 0.899933 1.36817 2.04271
111 0.869038 1.35491 2.03647
112 0.871775 1.35462 2.0337
113 0.87629 1.35615 2.03505
114 0.881706 1.35859 2.03846
115 0.885798 1.35966 2.03876
116 0.890796 1.36165 2.0411
117 0.896256 1.36408 2.04446
118 0.89993 1.3647 2.04371
119 0.868148 1.35058 2.0354
