# index x y z
0 1.9936 0.627126 0.485684
1 1.99485 0.626769 0.482969
2 1.99149 0.626017 0.479145
3 1.99042 0.625464 0.475889
4 1.98124 0.624224 0.470716
5 1.9908 0.623975 0.488093
6 1.9863 0.623135 0.483973
7 1.98063 0.622199 0.479592
8 1.97147 0.620976 0.474396
9 1.97269 0.620625 0.471717
10 1.96705 0.618803 0.461517
11 1.98218 0.619603 0.462108
12 1.97526 0.618583 0.457551
13 1.98693 0.619093 0.457303
14 1.98475 0.619641 0.483666
15 1.98023 0.618814 0.479565
16 1.9757 0.61799 0.475481
17 1.97115 0.617167 0.471414
18 1.9712 0.616723 0.468463
19 1.96662 0.615903 0.464424
20 1.96551 0.615367 0.461218
21 1.97019 0.615301 0.459374
22 1.9679 0.614673 0.455909
23 1.97258 0.614607 0.454062
24 1.98896 0.616616 0.484761
25 1.9833 0.615708 0.480375
26 1.97992 0.614987 0.476565
27 1.97653 0.614268 0.472768
28 1.97429 0.613643 0.469261
29 1.96971 0.612834 0.465218
30 1.96628 0.61212 0.461464
31 1.97096 0.61205 0.459618
32 1.971 0.611612 0.45669
33 1.97335 0.611359 0.454303
34 1.97571 0.611105 0.451917
35 1.98847 0.613652 0.48773
36 1.98627 0.613029 0.484173
37 1.98291 0.612317 0.480349
38 1.97607 0.611334 0.475705
39 1.97383 0.610716 0.472189
40 1.97158 0.610099 0.468685
41 1.96585 0.609212 0.464371
42 1.96473 0.608688 0.461165
43 1.96825 0.608524 0.45905
44 1.96945 0.608181 0.456394
45 1.97297 0.608017 0.454277
46 1.973 0.607584 0.451357
47 1.99612 0.610868 0.489676
48 1.99163 0.610074 0.485549
49 1.98482 0.609104 0.48088
50 1.9826 0.608491 0.477344
51 1.97922 0.607791 0.473544
52 1.97582 0.607093 0.469757
53 1.97009 0.60622 0.465438
54 1.96783 0.605613 0.461955
55 1.96438 0.604919 0.458212
56 1.96558 0.604578 0.45556
57 1.96677 0.604237 0.452911
58 1.96912 0.603984 0.450532
59 1.97613 0.604081 0.449212
60 1.99238 0.60675 0.485802
61 1.98558 0.605796 0.481132
62 1.98452 0.605278 0.477873
